Hip Center, Spine, Shoulder Center, Head, Shoulder Left, Elbow Left, Wrist Left, Hand Left, Hip Left, Knee Left, Ankle Right, Foot Left, Hip Right, Knee Right, Ankle Right, Foot Right   
"0.457166,0.312855,2.14435","0.47521,0.350246,2.12973","0.516977,0.321112,2.06257","0.372377,0.394508,2.19933","0.354721,0.290565,1.80596","0.273783,0.248273,1.81639","0.119553,0.314515,1.85715","0.0841846,0.334651,1.87488","0.597435,0.225937,1.96199","0.505016,0.329558,2.05564","0.560127,0.379475,1.94436","0.552165,0.431583,1.92711","0.272847,0.262098,2.09455","0.213605,0.341438,2.38585","0.263904,0.286275,2.09997","0.319684,0.234379,2.07415","0.324272,0.232473,2.31504","0.537242,0.374808,2.28312","0.673185,0.27161,2.15351","0.613223,0.248565,2.1234",
"0.439522,0.324177,2.15927","0.453069,0.36238,2.14722","0.518614,0.331292,2.06288","0.3746,0.400569,2.20778","0.343868,0.291809,1.76173","0.261115,0.190974,1.68505","0.141301,0.273471,1.76698","0.141691,0.305271,1.75906","0.600677,0.236499,1.95685","0.511734,0.326736,2.06481","0.552013,0.407819,1.96036","0.560432,0.445637,1.91515","0.25166,0.293765,2.18107","0.1781,0.368858,2.48403","0.22582,0.282518,2.1676","0.252383,0.222532,2.15181","0.349176,0.268213,2.37799","0.553465,0.358081,2.28007","0.699206,0.244612,2.14003","0.623124,0.231737,2.14184",
"0.439005,0.329357,2.16248","0.450097,0.367714,2.15127","0.523618,0.344618,2.06352","0.37848,0.40612,2.2172","0.339959,0.29919,1.76511","0.244015,0.182638,1.67653","0.123747,0.263584,1.75811","0.116862,0.299728,1.7265","0.60495,0.250549,1.95648","0.517643,0.342595,2.07156","0.534163,0.423775,1.96546","0.553501,0.455264,1.91419","0.245523,0.294558,2.17636","0.123219,0.356058,2.49563","0.251814,0.19534,2.35479","0.258182,0.202169,2.28935","0.351948,0.276051,2.38987","0.565431,0.353354,2.28869","0.715955,0.236506,2.14487","0.629707,0.220342,2.1518",
"0.488953,0.345678,2.08949","0.483849,0.376352,2.09961","0.526732,0.360151,2.06394","0.381624,0.414694,2.22767","0.337408,0.302937,1.76523","0.287752,0.191936,1.63357","0.159288,0.262398,1.7188","0.150939,0.305172,1.69482","0.608376,0.26731,1.95663","0.507627,0.352206,2.09187","0.524065,0.429214,1.97139","0.5441,0.457428,1.91813","0.31392,0.256417,1.92552","0.197866,0.323925,2.27684","0.226423,0.155607,2.00816","0.176818,0.106858,2.01036","0.354032,0.213033,2.17904","0.655732,0.349419,2.05206","0.807552,0.231773,1.91083","0.834442,0.204795,1.85409",
"0.436764,0.32887,2.12417","0.443989,0.367443,2.12663","0.526681,0.375075,2.06829","0.371515,0.429234,2.24839","0.34142,0.308097,1.77235","0.265059,0.181341,1.66476","0.141839,0.258742,1.74759","0.136107,0.302107,1.72092","0.595111,0.283923,1.97743","0.502643,0.35839,2.10323","0.523298,0.434528,1.97636","0.543793,0.461248,1.92819","0.219587,0.236387,2.07139","0.128792,0.359036,2.44542","0.173425,0.161968,2.17663","0.174651,0.116528,2.15436","0.334095,0.20649,2.28552","0.59791,0.357932,2.18597","0.748713,0.240508,2.04506","0.682642,0.217369,2.03758",
"0.436412,0.314065,2.05796","0.428134,0.339274,2.08441","0.516237,0.384755,2.08476","0.365536,0.438911,2.26005","0.335721,0.304694,1.76816","0.271822,0.166627,1.6516","0.14897,0.247133,1.73648","0.142484,0.293342,1.71031","0.585086,0.29461,1.99255","0.499484,0.362788,2.11068","0.534778,0.428689,1.98513","0.55045,0.456548,1.9362","0.269047,0.200747,1.88642","0.187611,0.308897,2.26467","0.1987,0.131895,1.99583","0.240555,0.110017,1.93396","0.333125,0.152169,2.07895","0.520069,0.194041,1.74147","0.672082,0.0783934,1.60008","0.712179,0.0601015,1.55117",
"0.433301,0.338197,2.10057","0.427523,0.364489,2.10665","0.5112,0.39057,2.09156","0.361324,0.445372,2.2665","0.334955,0.30011,1.79229","0.264806,0.166377,1.68301","0.14333,0.248683,1.76671","0.138506,0.29196,1.73199","0.578173,0.30194,2.00159","0.497346,0.366041,2.11566","0.540633,0.424816,1.98744","0.558295,0.447157,1.94141","0.213744,0.254181,2.07827","0.203237,0.237795,2.3634","0.166385,0.147017,2.097","0.187364,0.0900787,2.05624","0.334386,0.225116,2.31921","0.562482,0.390377,2.30007","0.712224,0.276108,2.16016","0.650881,0.249845,2.12377",
"0.436289,0.334346,2.06474","0.424877,0.354548,2.08981","0.507374,0.394261,2.0946","0.357828,0.449735,2.27022","0.337383,0.298323,1.81082","0.268587,0.175923,1.72275","0.144514,0.255933,1.79163","0.118348,0.296202,1.80918","0.572771,0.30673,2.00645","0.495856,0.368152,2.11859","0.547015,0.415483,1.98578","0.566584,0.430031,1.94136","0.282666,0.213267,1.87254","0.209951,0.24464,2.24512","0.203815,0.130418,1.95287","0.252905,0.111078,1.88906","0.334106,0.150226,2.09639","0.298832,0.3014,1.83311","0.473428,0.189945,1.72355","0.516506,0.176578,1.67618",
"0.435456,0.329329,2.04749","0.420425,0.344666,2.07482","0.500292,0.394234,2.09327","0.353382,0.452551,2.2717","0.342633,0.275052,1.80764","0.258059,0.175333,1.7483","0.139632,0.261621,1.81384","0.0995784,0.300522,1.85893","0.566354,0.308938,2.00871","0.493868,0.368203,2.11827","0.549245,0.397714,1.97821","0.568882,0.402763,1.93389","0.292797,0.19596,1.81865","0.244548,0.202771,2.19349","0.175264,0.155112,2.11038","0.195866,0.121436,1.98981","0.331201,0.132134,2.04602","0.254777,0.304162,1.80466","0.405596,0.189183,1.66343","0.462269,0.174228,1.60457",
"0.434993,0.326773,2.03933","0.41804,0.337975,2.06737","0.47985,0.3805,2.08037","0.343027,0.451923,2.26788","0.335741,0.241428,1.79662","0.251691,0.147499,1.74299","0.13132,0.243389,1.82022","0.0811671,0.271206,1.87164","0.551888,0.303831,2.00571","0.486057,0.361287,2.11077","0.542516,0.369947,1.96453","0.561573,0.367769,1.92044","0.304668,0.182748,1.78355","0.25764,0.18742,2.17115","0.173646,0.154084,2.10881","0.180575,0.129235,2.01605","0.330083,0.122706,2.02259","0.211433,0.302117,1.76215","0.440127,0.23523,1.7003","0.510307,0.230166,1.64774",
